peak_id,peak_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id
MAKA,Makalu,8485,Climbed,1955,France,MAKA55101
MANA,Manaslu,8163,Climbed,1956,"Japan, Nepal",MANA56101
MANN,Manaslu North,6994,Climbed,1964,"Netherlands, Austria, Nepal",MANN64301
MANP,Manapathi,6380,Climbed,1956,"Argentina, Nepal",MANP56101
MARD,Mardi Himal,5553,Climbed,1962,"UK, Nepal",MARD62101
MERA,Mera Peak,6470,Climbed,1953,"UK, Nepal",MERA53101
MING,Mingbo Ri,6207,Unclimbed,NA,NA,NA
NALA,Nalakankar North,6062,Climbed,2000,"Japan, Nepal",NALA00201
NAMP,Nampa,6729,Climbed,1972,Japan,NAMP72101
NCHU,Nupchu,6172,Climbed,1962,Japan,SPH462101
NEMJ,Nemjung,7140,Climbed,1983,"Japan, Nepal",NEMJ83301
NEPA,Nepal Peak,7177,Climbed,1930,Austria,NEPA30101
NGO2,Ngojumba Kang II,7743,Climbed,1965,"Japan, Nepal",NGO265101
NGOJ,Ngojumba Kang I,7916,Climbed,1982,"S Korea, Nepal",NGOJ82302
NILC,Nilgiri Central,6940,Climbed,1979,Japan,NILC79101
NILN,Nilgiri North,7061,Climbed,1962,"Netherlands, France, Nepal",NILN62301
NILS,Nilgiri South,6839,Climbed,1978,Japan,NILS78301
NUMB,Numbur,6958,Climbed,1963,"Japan, Nepal",NUMB63101
NUPT,Nuptse,7864,Climbed,1961,"UK, Nepal",NUPT61101
OHMI,Ohmi Kangri,6839,Climbed,1985,Switzerland,OHMI85101
OMBK,Ombak Himal,6300,Unclimbed,NA,NA,NA
PALD,Paldor,5903,Climbed,1949,"UK, Nepal",PALD49201
PANG,Pangbuk Ri,6625,Climbed,2011,USA,PANG11301
PARC,Parchamo,6279,Climbed,1955,UK,PARC55101
PATR,Patrasi Himal,6450,Unclimbed,NA,NA,NA
PETH,Pethangtse,6739,Climbed,1954,"New Zealand, Nepal",PETH54101
PHUR,Phurbi Chhyachu,6637,Climbed,1982,"Japan, Nepal",PHUR82101
PIMU,Pimu,6344,Climbed,1955,UK,PIMU55101
PISA,Pisang,6091,Climbed,1955,W Germany,PISA55201
PK29,Peak 29,7871,Climbed,1979,Poland,PK2979101
POIN,Pointed Peak,5850,Climbed,1953,UK,POIN53101
POKA,Pokalde,5780,Climbed,1953,UK,POKA53101
OMBG,Ombigaichen,6340,Climbed,1960,"New Zealand, Nepal",OMBG60301
PUMO,Pumori,7138,Climbed,1962,"W Germany, Switzerland",PUMO62101
PUTH,Putha Hiunchuli,7246,Climbed,1954,"UK, Nepal",PUTH54301
PYRM,Pyramid Peak,7140,Climbed,1993,"Japan, India",PYRM93101
RAKS,Raksha Urai,6609,Climbed,2003,"France, Nepal",RAKS03301
RAMD,Ramdung,5900,Climbed,1952,"UK, Nepal",RAMD52301
RATH,Rathong,6682,Climbed,1964,India,RATH64301
ROCN,Roc Noir,7485,Climbed,1969,W Germany,ROCN69101
ROKA,Rokapi,6468,Climbed,1977,UK,ROKA77301
SAIE,Saipal East Humla,6925,Climbed,1990,"Switzerland, Nepal",SAIP90301
SAIP,Saipal,7030,Climbed,1963,"Japan, Nepal",SAIP63301
SHAR,Shartse,7591,Unclimbed,NA,NA,NA
SHA2,Shartse II,7457,Climbed,1974,"Austria, W Germany",SHA274101
SHEY,Shey Shikhar,6139,Climbed,2007,Japan,SHEY07201
SING,Singu Chuli,6501,Climbed,1957,UK,SING57101
SISN,Sisne Himal,5911,Climbed,2013,"Nepal, USA",SISN13101
SITA,Sita Chuchura,6611,Climbed,1970,"Japan, Nepal",SITA70301
SNOW,Snow Peak,6530,Unclimbed,NA,NA,NA
SPHN,Sphinx,6825,Climbed,1936,UK,SPHN36101
SPH1,Sharphu I,6433,Climbed,1963,Japan,SPH163301
SURM,Surma-Sarovar North,6564,Unclimbed,NA,NA,NA
TAWO,Tawoche,6495,Climbed,1974,France,TAWO74101
KIRA,Kirat Chuli,7362,Climbed,1939,"Switzerland, Germany",KIRA39101
THAM,Thamserku,6618,Climbed,1964,New Zealand,THAM64301
THAR,Tharpu Chuli,5695,Climbed,1964,Japan,THAR64301
TILI,Tilicho,7134,Climbed,1978,France,TILI78301
TLNG,Talung,7349,Climbed,1964,"W Germany, Nepal",TLNG64101
TONG,Tongu,6187,Climbed,1959,USA,TONG59301
TRIP,Tripura Hiunchuli,6553,Climbed,1986,"Japan, Nepal",TRIP86301
TSOK,Tso Karpo Kang,6556,Climbed,1971,Japan,TSOK71301
TUKU,Tukuche,6920,Climbed,1970,Japan,TUKU70101
URKM,Urkinmang,6143,Climbed,1964,"Japan, Nepal",URKM64101
ANID,Anidesh Chuli,6808,Unclimbed,NA,NA,NA
TSUR,Tsaurabong Peak,6395,Climbed,1974,"Japan, Nepal",TSUR74101
YALU,Yalung Kang,8505,Climbed,1973,Japan,YALU73101
PASA,Pasang Lhamu Chuli,7350,Climbed,1986,Japan,PASA86301
RATC,Ratna Chuli,7035,Climbed,1996,"Japan, Nepal",RATC96301
KANT,Kanti Himal,6850,Climbed,2002,"Japan, Nepal",KANT02301
RAMT,Ramtang,6601,Climbed,1930,"Austria, UK",RAMT30101
LING,Lingtren,6713,Climbed,1935,UK,LING35201
TENG,Tengkoma,6215,Climbed,1949,"Switzerland, Nepal",TENG49101
RAMC,Ramtang Chang,6802,Climbed,1974,Yugoslavia,RAMC74301
CHRE,Churen Himal East,7371,Climbed,1970,"S Korea, Nepal",CHRE70101
CHRW,Churen Himal West,7371,Climbed,1970,"Japan, Nepal",CHRW70301
CHRI,Chhukung Ri,5550,Climbed,1965,Netherlands,CHRI65101
KTOK,Kangtokal,6294,Climbed,1962,"Japan, Nepal",KTOK62101
SRKU,Serku Dolma,6227,Climbed,1973,"Japan, Nepal",SRKU73301
NALS,Nalakankar South,6024,Climbed,2000,"Japan, Nepal",NALS00201
CHWT,Changwathang,6130,Climbed,2000,"Japan, Nepal",CHWT00201
TAKP,Takphu Himal,6395,Climbed,2018,"UK, Germany",TAKP18301
MALA,Malanphulan,6573,Climbed,2000,USA,MALA00101
LHOM,Lhotse Middle,8410,Climbed,2001,Russia,LHOM01101
